的,de,"possessive, adjectival suffix"
桌子,zhuō zi,"table; desk; CL:張|张[zhang1],套[tao4]"
出租车,chū zū chē,taxi; (Tw) rental car
天气,tiān qì,weather
茶,chá,tea
九,jiǔ,nine
商店,shāng diàn,"store; shop; CL:家[jia1],個|个[ge4]"
椅子,yǐ zi,"chair; CL:把[ba3],套[tao4]"
同学,tóng xué,"to study at the same school; fellow student; classmate; CL:位[wei4],個|个[ge4]"
一点儿,yī diǎn r,erhua variant of 一點|一点[yi1 dian3]
苹果,píng guǒ,"apple; CL:個|个[ge4],顆|颗[ke1]"
饭店,fàn diàn,"restaurant; hotel; CL:家[jia1],個|个[ge4]"
中午,zhōng wǔ,noon; midday; CL:個|个[ge4]
上午,shàng wǔ,morning; CL:個|个[ge4]
水果,shuǐ guǒ,fruit; CL:個|个[ge4]
杯子,bēi zi,"cup; glass; CL:個|个[ge4],隻|只[zhi1]"
下雨,xià yǔ,to rain
米饭,mǐ fàn,(cooked) rice
北京,běi jīng,"Beijing, capital of People's Republic of China; Peking; PRC government"
汉语,hàn yǔ,Chinese language; CL:門|门[men2]
不客气,bù kè qi,you're welcome; don't mention it; impolite; rude; blunt
